ORF	NAME
YAL029C	MYO4
YDR503C	LPP1
YLR079W	SIC1
YGL150C	INO80
YLR266C	PDR8
YHR123W	EPT1
YGL173C	XRN1
YOR181W	LAS17
YMR297W	PRC1
YBL032W	HEK2
YIL047C	SYG1
YLR208W	SEC13
YPL030W	TRM44
YPL262W	FUM1
YGL094C	PAN2
YIL169C	-
YOR036W	PEP12
YOR316C	COT1
YML116W	ATR1
YBR141C	BMT2
YDR190C	RVB1
YER155C	BEM2
YGR027C	RPS25A
YJL020C	BBC1
YMR309C	NIP1
YLR135W	SLX4
YDR408C	ADE8
YER074W	RPS24A
YBR157C	ICS2
YDL160C	DHH1
YJL110C	GZF3
YBL026W	LSM2
YGL014W	PUF4
YJL034W	KAR2
YDR539W	FDC1
YFR044C	DUG1
YOL012C	HTZ1
YBL098W	BNA4
YGL012W	ERG4
YDR289C	RTT103
YOR153W	PDR5
YDL078C	MDH3
YCR005C	CIT2
YBR069C	TAT1
YNL255C	GIS2
YDR011W	SNQ2
YGL227W	VID30
YBR267W	REI1
YGR246C	BRF1
YER020W	GPA2
YGR054W	-
YNL102W	POL1
YBR034C	HMT1
YOL156W	HXT11
YDL149W	ATG9
YNL133C	FYV6
YML014W	TRM9
YBR177C	EHT1
YJL134W	LCB3
YDR239C	-
YHR109W	CTM1
YDR012W	RPL4B
YML032C	RAD52
YLR370C	ARC18
YBR077C	SLM4
YPR036W-A	SPO24
YDL225W	SHS1
YCR087C-A	-
YDR480W	DIG2
YPL055C	LGE1
YDR300C	PRO1
YLR436C	ECM30
YBR015C	MNN2
YPL111W	CAR1
YAL026C	DRS2
YPL258C	THI21
YMR105C	PGM2
YER053C-A	-
YFR007W	YFH7
YPL226W	NEW1
YPL091W	GLR1
YBR200W	BEM1
YNR075W	COS10
YMR069W	NAT4
YHR021C	RPS27B
YJR025C	BNA1
YOL146W	PSF3
YOR160W	MTR10
YGL115W	SNF4
YHR104W	GRE3
YJL066C	MPM1
YDL135C	RDI1
YNL225C	CNM67
YOR133W	EFT1
YOR191W	ULS1
YGR046W	TAM41
YOR099W	KTR1
YER116C	SLX8
YER118C	SHO1
YFL049W	SWP82
YGL101W	-
YIL137C	TMA108
YMR311C	GLC8
YML082W	-
YKL190W	CNB1
YPR057W	BRR1
YJR145C	RPS4A
YGR146C-A	-
YAL064C-A	TDA8
YDR338C	-
YDL008W	APC11
YKL207W	EMC3
YOR391C	HSP33
YGL113W	SLD3
YLR098C	CHA4
YOL059W	GPD2
YOR370C	MRS6
YPL081W	RPS9A
YOR231W	MKK1
YER173W	RAD24
YML029W	USA1
YDR138W	HPR1
YOR095C	RKI1
YDR074W	TPS2
YLR292C	SEC72
YMR043W	MCM1
YGL213C	SKI8
YPL112C	PEX25
YOL141W	PPM2
YNL117W	MLS1
YER065C	ICL1
YMR162C	DNF3
YPL210C	SRP72
YER111C	SWI4
YLR056W	ERG3
YHR177W	-
YDR388W	RVS167
YPR095C	SYT1
YOR018W	ROD1
YPL117C	IDI1
YDR496C	PUF6
YJR091C	JSN1
YKL086W	SRX1
YDR046C	BAP3
YLR289W	GUF1
YPL011C	TAF3
YBR290W	BSD2
YIL055C	-
YOL051W	GAL11
YDL168W	SFA1
YER145C	FTR1
YOR197W	MCA1
YER032W	FIR1
YOR130C	ORT1
YOL094C	RFC4
YLR453C	RIF2
YDL145C	COP1
YOR368W	RAD17
YGR106C	VOA1
YHL025W	SNF6
YBR230C	OM14
YGL124C	MON1
YBR181C	RPS6B
YHR106W	TRR2
YER102W	RPS8B
YKL051W	SFK1
YMR173W	DDR48
YNL282W	POP3
YNL135C	FPR1
YNR055C	HOL1
YFL007W	BLM10
YKL026C	GPX1
YOR150W	MRPL23
YDR497C	ITR1
YFL036W	RPO41
YLL008W	DRS1
YBL075C	SSA3
YGR239C	PEX21
YHR011W	DIA4
YOR273C	TPO4
YGR132C	PHB1
YBR089C-A	NHP6B
YPR106W	ISR1
YLR457C	NBP1
YOR090C	PTC5
YPL018W	CTF19
YKL221W	MCH2
YMR016C	SOK2
YBR195C	MSI1
YDR350C	ATP22
YJL206C	-
YDR440W	DOT1
YOL026C	MIM1
YGL013C	PDR1
YBR028C	YPK3
YGR088W	CTT1
YHR039C-A	VMA10
YER190W	YRF1-2
YNL288W	CAF40
YGR206W	MVB12
YER112W	LSM4
YDL058W	USO1
YNL015W	PBI2
YOR067C	ALG8
YIL008W	URM1
YDR378C	LSM6
YKR080W	MTD1
YFR031C-A	RPL2A
YGL023C	PIB2
YJR137C	MET5
YJR154W	-
YDL185W	VMA1
YDR502C	SAM2
YER008C	SEC3
YPR035W	GLN1
YNL209W	SSB2
YGL095C	VPS45
YEL011W	GLC3
YGL211W	NCS6
YIL063C	YRB2
YDR297W	SUR2
YPL249C	GYP5
YCL014W	BUD3
YDL133W	SRF1
YPR167C	MET16
YGL242C	-
YML049C	RSE1
YDR159W	SAC3
YDR434W	GPI17
YLR454W	FMP27
YER023W	PRO3
YGR183C	QCR9
YCR075W-A	EGO2
YGL105W	ARC1
YBL018C	POP8
YKR039W	GAP1
YDL171C	GLT1
YMR292W	GOT1
YBR102C	EXO84
YNL166C	BNI5
YLR175W	CBF5
YDL161W	ENT1
YHR001W	OSH7
YLR438C-A	LSM3
YGR271C-A	EFG1
YGL002W	ERP6
YBR208C	DUR1,2
YGR234W	YHB1
YMR231W	PEP5
YBR222C	PCS60
YER146W	LSM5
YGR204W	ADE3
YHR111W	UBA4
YGL054C	ERV14
YML125C	PGA3
YMR186W	HSC82
YNR016C	ACC1
YDR331W	GPI8
YIL033C	BCY1
YPL115C	BEM3
YBL003C	HTA2
YLR326W	-
YDL226C	GCS1
YKR076W	ECM4
YKL181W	PRS1
YOR361C	PRT1
YEL031W	SPF1
YLR455W	PDP3
YNR006W	VPS27
YER003C	PMI40
YNL037C	IDH1
YDR466W	PKH3
YGL203C	KEX1
YJL192C	SOP4
YHR007C	ERG11
YJL133C-A	-
YHR063C	PAN5
YJR094W-A	RPL43B
YDR524C-B	-
YKL103C	APE1
YHR205W	SCH9
YBL015W	ACH1
YGR105W	VMA21
YML056C	IMD4
YDR283C	GCN2
YJL088W	ARG3
YER073W	ALD5
YAR018C	KIN3
YHR142W	CHS7
YML052W	SUR7
YPL078C	ATP4
YCL057W	PRD1
YJL164C	TPK1
YPR191W	QCR2
YML123C	PHO84
YMR159C	ATG16
YIL051C	MMF1
YLR363C	NMD4
YDR488C	PAC11
YPL186C	UIP4
YNL064C	YDJ1
YKL212W	SAC1
YPR080W	TEF1
YHR001W-A	QCR10
YKL013C	ARC19
YGR255C	COQ6
YMR100W	MUB1
YOR083W	WHI5
YBR215W	HPC2
YKL193C	SDS22
YKR082W	NUP133
YOR374W	ALD4
YDR099W	BMH2
YGL047W	ALG13
YPL271W	ATP15
YOR007C	SGT2
YMR062C	ARG7
YER055C	HIS1
YJR009C	TDH2
YDR166C	SEC5
YDR432W	NPL3
YDL232W	OST4
YCL029C	BIK1
YLR403W	SFP1
YLR180W	SAM1
YBL017C	PEP1
YLL024C	SSA2
YLR254C	NDL1
YER016W	BIM1
YJL016W	-
YBL007C	SLA1
YKR007W	MEH1
YOR323C	PRO2
YMR189W	GCV2
YFR017C	IGD1
YML131W	-
YJL054W	TIM54
YOL039W	RPP2A
YGL031C	RPL24A
YNL186W	UBP10
YHR174W	ENO2
YMR010W	-
YCR016W	-
YGR085C	RPL11B
YFR040W	SAP155
YDR307W	PMT7
YOR230W	WTM1
YLR083C	EMP70
YEL063C	CAN1
YLR304C	ACO1
YGR028W	MSP1
YLL031C	GPI13
YHR121W	LSM12
YGL108C	-
YKL075C	-
YKR100C	SKG1
YNL231C	PDR16
YBR288C	APM3
YJR152W	DAL5
YGL253W	HXK2
YBL020W	RFT1
YFL026W	STE2
YOR104W	PIN2
YNL246W	VPS75
YMR165C	PAH1
YLR006C	SSK1
YDL235C	YPD1
YER157W	COG3
YDR032C	PST2
YIL121W	QDR2
YNL044W	YIP3
YKR059W	TIF1
YGL009C	LEU1
YOR046C	DBP5
YER091C	MET6
YJR083C	ACF4
YPR135W	CTF4
YDL211C	-
YPL032C	SVL3
YOR136W	IDH2
YCR012W	PGK1
YCR024C-A	PMP1
YLR350W	ORM2
YDR033W	MRH1
YDL081C	RPP1A
YNL008C	ASI3
YJR118C	ILM1
YBR164C	ARL1
YBR111W-A	SUS1
YHR003C	TCD1
YFL021W	GAT1
YOR143C	THI80
YJL153C	INO1
YNR050C	LYS9
YIL125W	KGD1
YIL133C	RPL16A
YPR113W	PIS1
YOL147C	PEX11
YPL048W	CAM1
YGL084C	GUP1
YLR346C	-
YJL081C	ARP4
YDR027C	VPS54
YGR250C	-
YGR002C	SWC4
YOR061W	CKA2
YNR056C	BIO5
YPR036W	VMA13
YML020W	-
YGL120C	PRP43
YIR007W	EGH1
YJR092W	BUD4
YPL119C	DBP1
YIL076W	SEC28
YBL002W	HTB2
YJR057W	CDC8
YJL139C	YUR1
YDR127W	ARO1
YKR034W	DAL80
YJL138C	TIF2
YKL046C	DCW1
YLR415C	-
YDL160C-A	MHF2
YHR132C	ECM14
YDR414C	ERD1
YIL068C	SEC6
YGR020C	VMA7
YML055W	SPC2
YMR003W	AIM34
YHR183W	GND1
YJL178C	ATG27
YNR033W	ABZ1
YFL024C	EPL1
YLR433C	CNA1
YIL052C	RPL34B
YKL008C	LAC1
YOR261C	RPN8
YHL034C	SBP1
YLR248W	RCK2
YKR026C	GCN3
YGR091W	PRP31
YOR184W	SER1
YOR148C	SPP2
YNL076W	MKS1
YEL017W	GTT3
YLR033W	RSC58
YIL016W	SNL1
YOR027W	STI1
YLR419W	-
YMR143W	RPS16A
YBR055C	PRP6
YPR133C	SPN1
YDL082W	RPL13A
YLR028C	ADE16
YJL039C	NUP192
YPR102C	RPL11A
YBR080C	SEC18
YMR142C	RPL13B
YIL030C	SSM4
YGL190C	CDC55
YDR258C	HSP78
YJR040W	GEF1
YGL040C	HEM2
YHR004C	NEM1
YOR382W	FIT2
YGL158W	RCK1
YDR453C	TSA2
YER177W	BMH1
YLR435W	TSR2
YCR011C	ADP1
YBR097W	VPS15
YBR270C	BIT2
YPL175W	SPT14
YLR059C	REX2
YKL101W	HSL1
YPL198W	RPL7B
YNL212W	VID27
YBR242W	-
YHR167W	THP2
YGL145W	TIP20
YCR020C-A	MAK31
YDL136W	RPL35B
YMR068W	AVO2
YPL006W	NCR1
YDR382W	RPP2B
YML046W	PRP39
YMR200W	ROT1
YML035C	AMD1
YOL061W	PRS5
YIL084C	SDS3
YNL219C	ALG9
YMR120C	ADE17
YNL325C	FIG4
YLR020C	YEH2
YDR484W	VPS52
YDR296W	MHR1
YHR126C	ANS1
YJL068C	-
YDR105C	TMS1
YDR523C	SPS1
YDR352W	YPQ2
YBL102W	SFT2
YGR090W	UTP22
YBL071W-A	KTI11
YKL171W	NNK1
YJL177W	RPL17B
YER056C-A	RPL34A
YML047C	PRM6
YML097C	VPS9
YIR001C	SGN1
YBL085W	BOI1
YBR006W	UGA2
YJR066W	TOR1
YML107C	PML39
YJR143C	PMT4
YER063W	THO1
YMR261C	TPS3
YPL072W	UBP16
YBL064C	PRX1
YIL034C	CAP2
YMR251W-A	HOR7
YJL109C	UTP10
YBR066C	NRG2
YIL148W	RPL40A
YER140W	EMP65
YMR238W	DFG5
YLL013C	PUF3
YPR138C	MEP3
YLL001W	DNM1
YML007C-A	-
YJR116W	TDA4
YDR089W	-
YPL212C	PUS1
YPR041W	TIF5
YCR067C	SED4
YCL001W-B	-
YDR034W-B	-
YCL056C	PEX34
YDR231C	COX20
YNL106C	INP52
YGL100W	SEH1
YNL283C	WSC2
YDR192C	NUP42
YBR023C	CHS3
YMR246W	FAA4
YGL077C	HNM1
YJR073C	OPI3
YOR293W	RPS10A
YKR046C	PET10
YBR246W	RRT2
YPL061W	ALD6
YCR098C	GIT1
YHR136C	SPL2
YLR437C	DIF1
YEL047C	FRD1
YOR063W	RPL3
YOR198C	BFR1
YKL071W	-
YBR271W	EFM2
YGL197W	MDS3
YER067W	RGI1
YDR019C	GCV1
YOR241W	MET7
YML086C	ALO1
YLR210W	CLB4
YBR221C	PDB1
YBR154C	RPB5
YMR119W	ASI1
YPR154W	PIN3
YKL010C	UFD4
YOR367W	SCP1
YBR189W	RPS9B
YNL190W	-
YGL080W	MPC1
YIL095W	PRK1
YMR126C	DLT1
YGR263C	SAY1
YFR034C	PHO4
YKL159C	RCN1
YLR332W	MID2
YCR031C	RPS14A
YJL100W	LSB6
YNL333W	SNZ2
YGR075C	PRP38
YJR070C	LIA1
YJL047C-A	-
YMR025W	CSI1
YHL039W	EFM1
YDL088C	ASM4
YHR193C	EGD2
YEL066W	HPA3
YKL130C	SHE2
YLR395C	COX8
YGL216W	KIP3
YGR283C	-
YJR036C	HUL4
YPL170W	DAP1
YLR306W	UBC12
YGR232W	NAS6
YGR227W	DIE2
YOR358W	HAP5
YJR103W	URA8
YML022W	APT1
YFL038C	YPT1
YAR015W	ADE1
