Gene stable ID	Gene name	Human gene stable ID	Human gene name	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Human orthology confidence [0 low, 1 high]
YCR105W	ADH7	ENSG00000115129	TP53I3	17.4515	18.9759	0
YCR105W	ADH7	ENSG00000196344	ADH7	21.3296	19.5431	0
YCR105W	ADH7	ENSG00000172955	ADH6	20.7756	20	0
YCR105W	ADH7	ENSG00000196616	ADH1B	24.3767	23.4667	0
YCR105W	ADH7	ENSG00000187758	ADH1A	24.0997	23.2	0
YCR105W	ADH7	ENSG00000248144	ADH1C	24.3767	23.4667	0
YCR105W	ADH7	ENSG00000140263	SORD	22.1607	22.409	0
YCR105W	ADH7	ENSG00000205758	CRYZL1	17.7285	18.3381	0
YCR105W	ADH7	ENSG00000180011	ZADH2	17.1745	16.4456	0
YCR105W	ADH7	ENSG00000198099	ADH4	20.7756	18.797	0
YDR248C		ENSG00000148057	IDNK	29.5337	30.4813	1
YNL264C	PDR17	ENSG00000146352	CLVS2	14.8571	15.9021	0
YNL264C	PDR17	ENSG00000177182	CLVS1	15.1429	14.9718	0
YNL264C	PDR17	ENSG00000140522	RLBP1	14.2857	15.7729	0
YNL264C	PDR17	ENSG00000124120	TTPAL	14.8571	15.2047	0
YLL013C		ENSG00000055917	PUM2	28.7827	23.7782	0
YLL013C		ENSG00000134644	PUM1	30.1479	22.3064	0
YMR093W		ENSG00000164338	UTP15	29.2398	28.9575	1
YCL054W		ENSG00000108592	FTSJ3	34.0071	33.7662	1
YIL072W		ENSG00000143452	HORMAD1	15.8678	24.3655	0
YIL072W		ENSG00000176635	HORMAD2	11.5702	22.8013	0
YEL020C		ENSG00000131373	HACL1	35.8929	34.7751	1
YDL136W	RPL35B	ENSG00000136942	RPL35	56.6667	55.2846	1
YHR219W		ENSG00000108771	DHX58	4.48718	4.12979	0
YHR219W		ENSG00000107201	DDX58	4.48718	3.02703	0
YHR219W		ENSG00000115267	IFIH1	6.08974	3.70732	0
YGR283C		ENSG00000198917	SPOUT1	23.7537	21.5426	0
YKR023W		ENSG00000103671	TRIP4	16.0377	14.6299	0
YDR052C	DBF4	ENSG00000006634	DBF4	10.5114	10.9792	0
YDR052C	DBF4	ENSG00000161692	DBF4B	9.80114	11.2195	0
YJL102W		ENSG00000164347	GFM2	33.3333	35.0449	1
YKL033W	TTI1	ENSG00000101407	TTI1	18.6898	17.8145	0
YBR260C		ENSG00000105137	SYDE1	14.5646	13.1973	0
YBR260C		ENSG00000097096	SYDE2	19.2192	10.7203	0
YLR359W	ADE13	ENSG00000239900	ADSL	63.0705	62.8099	1
YHR062C		ENSG00000148688	RPP30	22.8669	20.8075	0
YDR293C	SSD1	ENSG00000144535	DIS3L2	18.4	25.9887	0
YPL195W	APL5	ENSG00000065000	AP3D1	28.3262	21.7284	0
YGL134W		ENSG00000115649	CNPPD1	12.4711	13.1707	0
YDR430C	CYM1	ENSG00000107959	PITRM1	35.8948	34.2004	1
YGR002C	SWC4	ENSG00000178028	DMAP1	19.7479	20.1285	0
YNL220W	ADE12	ENSG00000185100	ADSSL1	52.194	45.2	1
YNL220W	ADE12	ENSG00000035687	ADSS	56.582	53.7281	1
YLL067C		ENSG00000108771	DHX58	7.9668	14.1593	0
YLL067C		ENSG00000107201	DDX58	9.21162	12	0
YLL067C		ENSG00000115267	IFIH1	9.87552	11.6098	0
YPL078C	ATP4	ENSG00000116459	ATP5PB	21.3115	20.3125	0
YBR073W	RDH54	ENSG00000197275	RAD54B	30.6889	32.3077	1
YBR073W	RDH54	ENSG00000265817	FSBP	28.1837	37.1901	1
YPL119C	DBP1	ENSG00000152670	DDX4	37.9254	32.3204	1
YPL212C		ENSG00000177192	PUS1	26.4706	33.7237	1
YGL179C		ENSG00000110931	CAMKK2	21.7857	20.7483	0
YKL215C		ENSG00000178814	OPLAH	47.7449	47.6708	1
YDL059C		ENSG00000002016	RAD52	24.3697	13.8756	0
YOR257W	CDC31	ENSG00000153140	CETN3	56.5217	47.644	1
YIL172C		ENSG00000138079	SLC3A1	25.4669	21.8978	0
YIL172C		ENSG00000240038	AMY2B	11.0357	12.7202	0
YIL172C		ENSG00000237763	AMY1A	11.0357	12.7202	0
YIL172C		ENSG00000174876	AMY1B	11.0357	12.7202	0
YIL172C		ENSG00000187733	AMY1C	11.0357	12.7202	0
YIL172C		ENSG00000243480	AMY2A	10.8659	12.5245	0
YIL172C		ENSG00000168003	SLC3A2	15.1104	14.1046	0
YOR301W		ENSG00000108599	AKAP10	13.3333	8.76133	0
YPL008W	CHL1	ENSG00000013573	DDX11	32.5203	28.866	1
YEL077C		ENSG00000108771	DHX58	6.96946	13.1268	0
YEL077C		ENSG00000107201	DDX58	8.37901	11.5676	0
YEL077C		ENSG00000115267	IFIH1	8.84886	11.0244	0
YOR148C		ENSG00000068394	GPKOW	20	7.77311	0
YGR054W		ENSG00000144895	EIF2A	26.1682	28.7179	1
YOR096W	RPS7A	ENSG00000171863	RPS7	54.7368	53.6082	1
YMR022W	UBC7	ENSG00000184787	UBE2G2	61.8182	61.8182	1
YPL106C	SSE1	ENSG00000204390	HSPA1L	21.645	23.4009	0
YPL106C	SSE1	ENSG00000109971	HSPA8	22.3665	23.9938	0
YPL106C	SSE1	ENSG00000173110	HSPA6	20.6349	22.2395	0
YPL106C	SSE1	ENSG00000170606	HSPA4	39.8268	32.8571	0
YPL106C	SSE1	ENSG00000164070	HSPA4L	37.3737	30.8701	0
YPL106C	SSE1	ENSG00000204388	HSPA1B	21.9336	23.7129	0
YPL106C	SSE1	ENSG00000204389	HSPA1A	21.9336	23.7129	0
YPL106C	SSE1	ENSG00000120694	HSPH1	38.3838	30.9302	0
YDR411C		ENSG00000136986	DERL1	21.9941	29.8805	0
YDR411C		ENSG00000072849	DERL2	18.4751	26.3598	0
YDR411C		ENSG00000099958	DERL3	16.4223	23.431	0
YKL025C	PAN3	ENSG00000152520	PAN3	24.595	18.8275	0
YPR029C		ENSG00000166747	AP1G1	31.851	32.1212	1
YPR029C		ENSG00000213983	AP1G2	28.6058	30.3185	1
YJL083W		ENSG00000085832	EPS15	12.4172	8.37054	0
YJL083W		ENSG00000205726	ITSN1	13.4106	4.70657	0
YJL083W		ENSG00000185739	SRL	5.46358	6.97674	0
YJL083W		ENSG00000135597	REPS1	8.11258	6.15578	0
YJL083W		ENSG00000013016	EHD3	9.93377	11.215	0
YJL083W		ENSG00000169891	REPS2	9.43709	8.63636	0
YJL083W		ENSG00000198399	ITSN2	14.5695	5.18562	0
YJL083W		ENSG00000103966	EHD4	9.10596	10.1664	0
YJL083W		ENSG00000127527	EPS15L1	15.0662	10	0
YJL083W		ENSG00000110047	EHD1	10.4305	11.4964	0
YJL083W		ENSG00000024422	EHD2	9.27152	10.3131	0
YKL171W		ENSG00000079277	MKNK1	8.62069	17.2043	0
YPL060W	MFM1	ENSG00000124532	MRS2	22.5182	20.852	0
YBL035C		ENSG00000285816	AP000944.2	19.1489	23.2358	0
YBL035C		ENSG00000014138	POLA2	20.5674	24.2475	0
YJL092W	SRS2	ENSG00000134452	FBH1	7.6661	8.22669	0
YDR379W		ENSG00000106069	CHN2	8.6224	18.5897	0
YDR379W		ENSG00000285162	AC004593.3	8.72151	16.2063	0
YDR379W		ENSG00000160007	ARHGAP35	15.7582	10.6071	0
YDR379W		ENSG00000128656	CHN1	8.6224	18.9542	0
YDR205W		ENSG00000162695	SLC30A7	14.9171	28.7234	0
YJL031C		ENSG00000100949	RABGGTA	32.4159	18.6949	0
YLR016C		ENSG00000163877	SNIP1	21.5686	11.1111	0
YGR019W		ENSG00000183044	ABAT	41.6136	39.2	1
YMR137C	PSO2	ENSG00000198924	DCLRE1A	25.1135	15.9615	0
YJL097W		ENSG00000074696	HACD3	24.424	14.6409	0
YJL097W		ENSG00000165996	HACD1	34.5622	26.0417	1
YJL097W		ENSG00000188921	HACD4	18.894	17.6724	0
YJL097W		ENSG00000206527	HACD2	37.788	32.2835	1
YDL120W		ENSG00000165060	FXN	30.4598	25.2381	1
YPR016C	TIF6	ENSG00000261582	AL121753.1	26.9388	60	1
YPR016C	TIF6	ENSG00000242372	EIF6	71.8367	71.8367	1
YAL012W	CYS3	ENSG00000116761	CTH	50.7614	49.3827	1
YNL243W	SLA2	ENSG00000130787	HIP1R	23.1405	20.9738	0
YNL243W	SLA2	ENSG00000127946	HIP1	20.9711	19.5757	0
YGL220W	FRA2	ENSG00000183336	BOLA2	26.6667	21.0526	0
YGL220W	FRA2	ENSG00000169627	BOLA2B	26.6667	21.0526	0
YER110C	KAP123	ENSG00000196497	IPO4	22.4618	23.1267	0
YLL027W		ENSG00000135070	ISCA1	24	46.5116	0
YOL102C	TPT1	ENSG00000149743	TRPT1	32.6087	29.4118	1
YBL021C		ENSG00000189157	FAM47E	13.8889	5.08906	0
YBL021C		ENSG00000272414	FAM47E-STBD1	13.1944	5.41311	0
YBL021C		ENSG00000120837	NFYB	47.9167	33.3333	0
YPR026W		ENSG00000142102	PGGHG	12.0562	19.81	0
YLR421C		ENSG00000130706	ADRM1	21.1538	8.10811	0
YAL058W	CNE1	ENSG00000179218	CALR	23.1076	27.8177	0
YAL058W	CNE1	ENSG00000269058	CALR3	15.3386	20.0521	0
YAL058W	CNE1	ENSG00000127022	CANX	29.6813	25.1689	1
YAL058W	CNE1	ENSG00000153132	CLGN	28.0877	23.1148	0
YDR429C		ENSG00000130811	EIF3G	32.8467	28.125	1
YGR048W		ENSG00000070010	UFD1	33.795	39.7394	1
YDR263C	DIN7	ENSG00000174371	EXO1	33.7209	17.1395	0
YBR187W		ENSG00000134851	TMEM165	33.9286	29.321	1
YOR244W	ESA1	ENSG00000172977	KAT5	39.5506	32.2344	0
YOR244W	ESA1	ENSG00000083168	KAT6A	38.8764	8.63273	0
YOR244W	ESA1	ENSG00000205683	DPF3	8.08989	8.73786	0
YOR244W	ESA1	ENSG00000156650	KAT6B	40.2247	8.63483	0
YOR244W	ESA1	ENSG00000011332	DPF1	8.31461	8.9372	0
YOR244W	ESA1	ENSG00000048649	RSF1	11.236	3.46981	0
YBR074W	YBR074W	ENSG00000099219	ERMP1	17.623	19.0265	0
YDL195W	SEC31	ENSG00000075826	SEC31B	21.2097	22.9008	0
YDL195W	SEC31	ENSG00000138674	SEC31A	21.8382	22.7869	0
YLR059C	REX2	ENSG00000076043	REXO2	30.855	35.0211	1
YML130C		ENSG00000197930	ERO1A	25.222	30.3419	1
YML130C		ENSG00000086619	ERO1B	24.8668	29.9786	0
YBR223C		ENSG00000042088	TDP1	22.7941	20.3947	0
YER019W		ENSG00000135587	SMPD2	21.174	23.8771	0
YIL069C	RPS24B	ENSG00000138326	RPS24	56.2963	26.2976	1
YER042W	MXR1	ENSG00000175806	MSRA	33.6957	26.383	1
YBL069W		ENSG00000108828	VAT1	10.9557	11.9593	0
YBL069W		ENSG00000106853	PTGR1	10.0233	13.0699	0
YBL069W		ENSG00000140043	PTGR2	11.655	14.245	0
YBL069W		ENSG00000258653	AC005520.1	9.32401	13.9373	0
YBL069W		ENSG00000171724	VAT1L	10.9557	11.2172	0
YBL069W		ENSG00000197894	ADH5	11.4219	13.1016	0
YBL069W		ENSG00000115129	TP53I3	11.1888	14.4578	0
YBL069W		ENSG00000196344	ADH7	9.55711	10.4061	0
YBL069W		ENSG00000172955	ADH6	10.9557	12.5333	0
YBL069W		ENSG00000196616	ADH1B	10.0233	11.4667	0
YBL069W		ENSG00000187758	ADH1A	10.4895	12	0
YBL069W		ENSG00000248144	ADH1C	10.0233	11.4667	0
YBL069W		ENSG00000140263	SORD	15.3846	18.4874	0
YBL069W		ENSG00000205758	CRYZL1	8.62471	10.6017	0
YBL069W		ENSG00000180011	ZADH2	9.09091	10.3448	0
YBL069W		ENSG00000198099	ADH4	9.55711	10.2757	0
YML116W	ATR1	ENSG00000135953	MFSD9	10.7011	12.2363	0
YML116W	ATR1	ENSG00000164073	MFSD8	11.9926	12.5483	0
YML116W	ATR1	ENSG00000148110	MFSD14B	14.0221	15.0198	0
YML116W	ATR1	ENSG00000196312	MFSD14C	4.61255	16.6667	0
YML116W	ATR1	ENSG00000109736	MFSD10	11.8081	14.0659	0
YML116W	ATR1	ENSG00000156875	MFSD14A	15.1292	16.7347	0
YML116W	ATR1	ENSG00000283761	AC118553.2	15.1292	11.5007	0
YML116W	ATR1	ENSG00000118855	MFSD1	9.04059	9.53307	0
YML116W	ATR1	ENSG00000182544	MFSD5	9.5941	9.33573	0
YHR058C		ENSG00000133997	MED6	21.0169	24.1245	0
YPL109C		ENSG00000133597	ADCK2	24.9619	26.1981	0
YLR222C		ENSG00000183751	TBL3	29.8654	30.198	1
YPR183W	DPM1	ENSG00000000419	DPM1	28.0899	26.1324	1
YER039C	HVG1	ENSG00000134490	TMEM241	16.8675	14.1892	0
YFL007W	BLM10	ENSG00000068878	PSME4	16.4722	19.1536	0
YLR371W		ENSG00000006607	FARP2	11.8732	15.2751	0
YLR371W		ENSG00000127084	FGD3	8.48083	15.8621	0
YLR371W		ENSG00000180263	FGD6	12.0206	11.3986	0
YLR371W		ENSG00000154783	FGD5	11.4307	10.6019	0
YLR371W		ENSG00000203734	ECT2L	8.84956	13.2743	0
YLR371W		ENSG00000165694	FRMD7	5.38348	10.2241	0
YLR371W		ENSG00000102302	FGD1	9.51327	13.4235	0
YLR371W		ENSG00000146192	FGD2	9.14454	18.9313	0
YLR371W		ENSG00000137135	ARHGEF39	3.61357	14.6269	0
YLR371W		ENSG00000139132	FGD4	10.0295	15.4897	0
YLR371W		ENSG00000152767	FARP1	10.8407	13.6617	0
YMR061W		ENSG00000176102	CSTF3	24.0768	22.7336	0
YMR288W		ENSG00000115524	SF3B1	50.4634	37.5767	1
YJR113C		ENSG00000125445	MRPS7	14.17	14.4628	0
YLR116W	MSL5	ENSG00000168066	SF1	35.9244	25.4086	1
YEL012W	UBC8	ENSG00000186591	UBE2H	47.2477	56.2842	1
YLR179C		ENSG00000089220	PEBP1	23.8806	25.6684	0
YBR191W	RPL21A	ENSG00000122026	RPL21	58.75	58.75	1
YDL215C	GDH2	ENSG00000182890	GLUD2	12.5458	24.552	0
YDL215C	GDH2	ENSG00000148672	GLUD1	12.4542	24.3728	0
YIL061C	SNP1	ENSG00000104852	SNRNP70	28.3333	19.4508	0
YGR078C	PAC10	ENSG00000155959	VBP1	36.6834	37.0558	1
YLR417W	VPS36	ENSG00000136100	VPS36	13.4276	19.6891	0
YPL082C	MOT1	ENSG00000095564	BTAF1	37.2255	37.5879	1
YBR299W	MAL32	ENSG00000138079	SLC3A1	27.226	23.2117	0
YBR299W	MAL32	ENSG00000240038	AMY2B	11.1301	12.7202	0
YBR299W	MAL32	ENSG00000237763	AMY1A	11.1301	12.7202	0
YBR299W	MAL32	ENSG00000174876	AMY1B	11.1301	12.7202	0
YBR299W	MAL32	ENSG00000187733	AMY1C	11.1301	12.7202	0
YBR299W	MAL32	ENSG00000243480	AMY2A	11.3014	12.9159	0
YBR299W	MAL32	ENSG00000168003	SLC3A2	15.411	14.2631	0
YKR034W	DAL80	ENSG00000130700	GATA5	16.3569	11.0831	0
YKR034W	DAL80	ENSG00000179348	GATA2	16.3569	9.16667	0
YKR034W	DAL80	ENSG00000220201	ZGLP1	8.55019	8.48709	0
YKR034W	DAL80	ENSG00000102145	GATA1	18.2156	11.8644	0
YKR034W	DAL80	ENSG00000107485	GATA3	15.2416	9.23423	0
YKR034W	DAL80	ENSG00000104447	TRPS1	22.3048	4.63679	0
YKR034W	DAL80	ENSG00000136574	GATA4	17.8439	10.8352	0
YKR034W	DAL80	ENSG00000141448	GATA6	18.2156	8.23529	0
YOR005C	DNL4	ENSG00000174405	LIG4	24.5763	25.4665	0
YHR143W-A	RPC10	ENSG00000147669	POLR2K	27.1429	32.7586	0
YMR296C	LCB1	ENSG00000090054	SPTLC1	29.2115	34.4609	1
YMR212C		ENSG00000132294	EFR3A	17.2634	16.4434	0
YMR212C		ENSG00000084710	EFR3B	18.4143	17.6255	0
YDR039C		ENSG00000105675	ATP4A	21.8148	22.9952	0
YDR039C		ENSG00000105409	ATP1A3	22.0898	23.4893	0
YDR039C		ENSG00000285505	AC010616.2	21.9065	23.6634	0
YDR039C		ENSG00000067842	ATP2B3	20.8066	18.6066	0
YDR039C		ENSG00000018625	ATP1A2	22.3648	23.9216	0
YDR039C		ENSG00000187527	ATP13A5	15.857	14.2036	0
YDR039C		ENSG00000196296	ATP2A1	25.9395	28.2717	0
YDR039C		ENSG00000132681	ATP1A4	22.2731	23.6152	0
YFL027C		ENSG00000125875	TBC1D20	14.6881	18.1141	0
YBR219C		ENSG00000284952	AC104472.3	4.72441	1.7094	0
YBR219C		ENSG00000169359	SLC33A1	28.3465	6.55738	0
YBR219C		ENSG00000167700	MFSD3	7.08661	2.18447	0
YBL032W	HEK2	ENSG00000165119	HNRNPK	25.1968	20.6897	0
YBR267W		ENSG00000173545	ZNF622	31.2977	25.7862	1
YDR075W		ENSG00000149923	PPP4C	62.3377	62.5407	1
YPR107C		ENSG00000187959	CPSF4L	30.7692	35.7542	0
YOL001W	PHO80	ENSG00000115649	CNPPD1	14.6758	10.4878	0
YOR187W	TUF1	ENSG00000178952	TUFM	49.6567	47.6923	1
YDR167W	TAF10	ENSG00000166337	TAF10	22.8155	21.5596	0
YPL146C	NOP53	ENSG00000105373	NOP53	20.6593	19.6653	0
YAL044C		ENSG00000260643	AC092718.3	32.3529	30.3867	1
YAL044C		ENSG00000140905	GCSH	37.0588	36.4162	1
YAL044C		ENSG00000284512	AC092718.8	32.9412	28.4264	1
YOR151C	RPB2	ENSG00000047315	POLR2B	58.0065	60.477	1
YEL058W	PCM1	ENSG00000013375	PGM3	43.8061	42.807	1
YNL325C		ENSG00000112367	FIG4	33.5609	32.5248	1
YJL196C		ENSG00000119915	ELOVL3	15.1613	17.4074	0
YJL196C		ENSG00000164181	ELOVL7	22.5806	24.911	0
YJL196C		ENSG00000066322	ELOVL1	21.2903	23.6559	0
YJL196C		ENSG00000170522	ELOVL6	19.0323	22.2642	0
YMR013C		ENSG00000175283	DOLK	23.8921	23.0483	0
YHL013C		ENSG00000155100	OTUD6B	33.2248	31.5789	0
YHL013C		ENSG00000164164	OTUD4	9.12052	2.66921	0
YHL013C		ENSG00000189401	OTUD6A	23.7785	25.3472	0
YNL062C	GCD10	ENSG00000089195	TRMT6	21.7573	20.9256	0
YML059C		ENSG00000130653	PNPLA7	22.3943	28.0179	0
YML059C		ENSG00000032444	PNPLA6	22.8708	27.9273	0
YPL036W		ENSG00000123191	ATP7B	14.6779	9.48805	0
YPL036W		ENSG00000159363	ATP13A2	14.4667	11.6102	0
YPL036W		ENSG00000105675	ATP4A	17.0011	15.5556	0
YPL036W		ENSG00000105409	ATP1A3	17.9514	16.5692	0
YPL036W		ENSG00000285505	AC010616.2	17.7402	16.6337	0
YPL036W		ENSG00000165240	ATP7A	14.5723	9.2	0
YPL036W		ENSG00000067842	ATP2B3	17.529	13.6066	0
YPL036W		ENSG00000018625	ATP1A2	18.1626	16.8627	0
YPL036W		ENSG00000174437	ATP2A2	19.9578	18.1382	0
YPL036W		ENSG00000163399	ATP1A1	17.8458	16.52	0
YPL036W		ENSG00000017260	ATP2C1	24.9208	24.2549	0
YPL036W		ENSG00000074370	ATP2A3	19.5354	17.5856	0
YPL036W		ENSG00000133657	ATP13A3	14.5723	11.2561	0
