yeast_name,yeast_id,human_name,human_id
SKT5,YBL061C,SEL1L2,ENSG00000101251
SKT5,YBL061C,DELE1,ENSG00000081791
SKT5,YBL061C,SEL1L3,ENSG00000091490
SKT5,YBL061C,SEL1L,ENSG00000071537
SKT5,YBL061C,LRP2BP,ENSG00000109771
PRS4,YBL068W,PRPS2,ENSG00000101911
PRS4,YBL068W,PRPS1,ENSG00000147224
PRS4,YBL068W,PRPS1L1,ENSG00000229937
AST1,YBL069W,ADH4,ENSG00000198099
AST1,YBL069W,TP53I3,ENSG00000115129
AST1,YBL069W,ADH1C,ENSG00000248144
AST1,YBL069W,ADH5,ENSG00000197894
AST1,YBL069W,SORD,ENSG00000140263
AST1,YBL069W,ADH6,ENSG00000172955
AST1,YBL069W,VAT1L,ENSG00000171724
AST1,YBL069W,ADH1A,ENSG00000187758
AST1,YBL069W,VAT1,ENSG00000108828
AST1,YBL069W,ADH7,ENSG00000196344
AST1,YBL069W,PTGR2,ENSG00000140043
AST1,YBL069W,ADH1B,ENSG00000196616
AST1,YBL069W,ZADH2,ENSG00000180011
AST1,YBL069W,PTGR1,ENSG00000106853
AST1,YBL069W,CRYZL1,ENSG00000205758
AST1,YBL069W,,ENSG00000258653
RPS8A,YBL072C,RPS8,ENSG00000142937
AAR2,YBL074C,AAR2,ENSG00000131043
ATG8,YBL078C,GABARAP,ENSG00000170296
NUP170,YBL079W,NUP155,ENSG00000113569
PET112,YBL080C,GATB,ENSG00000059691
BOI1,YBL085W,AMPH,ENSG00000078053
AVT5,YBL089W,SLC36A2,ENSG00000186335
AVT5,YBL089W,SLC36A4,ENSG00000180773
AVT5,YBL089W,SLC36A1,ENSG00000123643
AVT5,YBL089W,SLC36A3,ENSG00000186334
AVT5,YBL089W,SLC38A8,ENSG00000166558
AVT5,YBL089W,SLC38A7,ENSG00000103042
AVT5,YBL089W,SLC38A1,ENSG00000111371
AVT5,YBL089W,SLC38A5,ENSG00000017483
AVT5,YBL089W,SLC38A2,ENSG00000134294
AVT5,YBL089W,SLC32A1,ENSG00000101438
BNA4,YBL098W,KMO,ENSG00000117009
ECM21,YBL101C,ARRDC5,ENSG00000205784
ECM21,YBL101C,ARRDC1,ENSG00000197070
ECM21,YBL101C,ARRDC3,ENSG00000113369
ECM21,YBL101C,ARRDC4,ENSG00000140450
ECM21,YBL101C,ARRDC2,ENSG00000105643
ECM21,YBL101C,TXNIP,ENSG00000265972
SFT2,YBL102W,SFT2D3,ENSG00000173349
SFT2,YBL102W,SFT2D2,ENSG00000213064
SFT2,YBL102W,SFT2D1,ENSG00000198818
SRO77,YBL106C,LLGL1,ENSG00000131899
SRO77,YBL106C,STXBP5L,ENSG00000145087
SRO77,YBL106C,LLGL2,ENSG00000073350
SRO77,YBL106C,STXBP5,ENSG00000164506
NA,YBL111C,IFIH1,ENSG00000115267
NA,YBL111C,DHX58,ENSG00000108771
NA,YBL111C,DDX58,ENSG00000107201
NA,YBL112C,DDX58,ENSG00000107201
NA,YBL112C,DHX58,ENSG00000108771
NA,YBL112C,IFIH1,ENSG00000115267
NA,YBL113C,DDX58,ENSG00000107201
NA,YBL113C,DHX58,ENSG00000108771
NA,YBL113C,IFIH1,ENSG00000115267
COQ1,YBR003W,PDSS2,ENSG00000164494
COQ1,YBR003W,PDSS1,ENSG00000148459
UGA2,YBR006W,ALDH5A1,ENSG00000112294
HHF1,YBR009C,HIST2H4A,ENSG00000270882
HHF1,YBR009C,HIST4H4,ENSG00000197837
HHF1,YBR009C,HIST1H4D,ENSG00000277157
HHF1,YBR009C,HIST1H4F,ENSG00000274618
HHF1,YBR009C,HIST1H4B,ENSG00000278705
HHF1,YBR009C,HIST1H4G,ENSG00000275663
HHT1,YBR010W,HIST2H3PS2,ENSG00000203818
IPP1,YBR011C,PPA2,ENSG00000138777
IPP1,YBR011C,PPA1,ENSG00000180817
GAL7,YBR018C,GALT,ENSG00000213930
GAL10,YBR019C,GALE,ENSG00000117308
GAL1,YBR020W,GALK2,ENSG00000156958
SCO2,YBR024W,SCO1,ENSG00000133028
SCO2,YBR024W,,ENSG00000284194
SCO2,YBR024W,SCO2,ENSG00000130489
OLA1,YBR025C,OLA1,ENSG00000138430
ETR1,YBR026C,MECR,ENSG00000116353
PDX3,YBR035C,PNPO,ENSG00000108439
ATP3,YBR039W,ATP5F1C,ENSG00000165629
FAT1,YBR041W,ACSL4,ENSG00000068366
FAT1,YBR041W,SLC27A2,ENSG00000140284
FAT1,YBR041W,ACSL1,ENSG00000151726
FAT1,YBR041W,SLC27A5,ENSG00000083807
FAT1,YBR041W,SLC27A1,ENSG00000130304
FAT1,YBR041W,ACSL6,ENSG00000164398
FAT1,YBR041W,ACSL3,ENSG00000123983
FAT1,YBR041W,,ENSG00000281938
FAT1,YBR041W,SLC27A6,ENSG00000113396
FAT1,YBR041W,ACSBG2,ENSG00000130377
FAT1,YBR041W,SLC27A4,ENSG00000167114
FAT1,YBR041W,SLC27A3,ENSG00000143554
FAT1,YBR041W,ACSBG1,ENSG00000103740
RPS11B,YBR048W,RPS11,ENSG00000142534
UBP14,YBR058C,USP7,ENSG00000187555
TRM7,YBR061C,FTSJ1,ENSG00000068438
BAP2,YBR068C,SLC7A2,ENSG00000003989
BAP2,YBR068C,SLC7A1,ENSG00000139514
BAP2,YBR068C,SLC7A11,ENSG00000151012
BAP2,YBR068C,SLC7A9,ENSG00000021488
BAP2,YBR068C,SLC7A13,ENSG00000164893
BAP2,YBR068C,SLC7A10,ENSG00000130876
BAP2,YBR068C,SLC7A4,ENSG00000099960
BAP2,YBR068C,SLC7A8,ENSG00000092068
BAP2,YBR068C,SLC7A7,ENSG00000155465
BAP2,YBR068C,SLC7A6,ENSG00000103064
BAP2,YBR068C,SLC7A5,ENSG00000103257
BAP2,YBR068C,SLC7A14,ENSG00000013293
BAP2,YBR068C,SLC7A3,ENSG00000165349
RDH54,YBR073W,RAD54B,ENSG00000197275
RDH54,YBR073W,FSBP,ENSG00000265817
SEC18,YBR080C,NSF,ENSG00000073969
TEC1,YBR083W,TEAD4,ENSG00000197905
TEC1,YBR083W,TEAD3,ENSG00000007866
TEC1,YBR083W,TEAD1,ENSG00000187079
TEC1,YBR083W,TEAD2,ENSG00000074219
NA,YBR096W,THEM6,ENSG00000130193
VPS15,YBR097W,PIK3R4,ENSG00000196455
EXO84,YBR102C,EXOC8,ENSG00000116903
SIF2,YBR103W,TBL1XR1,ENSG00000177565
SIF2,YBR103W,TBL1Y,ENSG00000092377
SIF2,YBR103W,TBL1X,ENSG00000101849
VID24,YBR105C,GID4,ENSG00000141034
TKL2,YBR117C,TKT,ENSG00000163931
TKL2,YBR117C,TKTL1,ENSG00000007350
TKL2,YBR117C,TKTL2,ENSG00000151005
TKL2,YBR117C,BCKDHB,ENSG00000083123
GRS1,YBR121C,GARS,ENSG00000106105
GRS1,YBR121C,POLG2,ENSG00000256525
TFC1,YBR123C,GTF3C5,ENSG00000148308
HSL7,YBR133C,PRMT5,ENSG00000100462
CKS1,YBR135W,CKS2,ENSG00000123975
IRA1,YBR140C,,ENSG00000270249
IRA1,YBR140C,RASAL3,ENSG00000105122
IRA1,YBR140C,RASAL1,ENSG00000111344
IRA1,YBR140C,RASAL2,ENSG00000075391
IRA1,YBR140C,RASA4,ENSG00000105808
IRA1,YBR140C,SYNGAP1,ENSG00000197283
IRA1,YBR140C,RASA3,ENSG00000185989
IRA1,YBR140C,RASA4B,ENSG00000170667
IRA1,YBR140C,RASA2,ENSG00000155903
IRA1,YBR140C,RASA1,ENSG00000145715
IRA1,YBR140C,DAB2IP,ENSG00000136848
MAK5,YBR142W,DDX24,ENSG00000089737
SUP45,YBR143C,ETF1,ENSG00000120705
ADH5,YBR145W,ADH5,ENSG00000197894
ADH5,YBR145W,VAT1,ENSG00000108828
ADH5,YBR145W,VAT1L,ENSG00000171724
ADH5,YBR145W,ADH6,ENSG00000172955
ADH5,YBR145W,ADH1C,ENSG00000248144
ADH5,YBR145W,ZADH2,ENSG00000180011
ADH5,YBR145W,CRYZL1,ENSG00000205758
ADH5,YBR145W,ADH7,ENSG00000196344
ADH5,YBR145W,TP53I3,ENSG00000115129
ADH5,YBR145W,ADH1A,ENSG00000187758
ADH5,YBR145W,PTGR1,ENSG00000106853
ADH5,YBR145W,ADH4,ENSG00000198099
ADH5,YBR145W,ADH1B,ENSG00000196616
RPB5,YBR154C,POLR2E,ENSG00000099817
CDC28,YBR160W,CDK3,ENSG00000250506
CDC28,YBR160W,CDK1,ENSG00000170312
ARL1,YBR164C,ARL1,ENSG00000120805
SSE2,YBR169C,HSPA6,ENSG00000173110
SSE2,YBR169C,HSPA4,ENSG00000170606
SSE2,YBR169C,HSPA4L,ENSG00000164070
SSE2,YBR169C,HSPH1,ENSG00000120694
SSE2,YBR169C,HSPA1L,ENSG00000204390
SSE2,YBR169C,HSPA1B,ENSG00000204388
SSE2,YBR169C,HSPA8,ENSG00000109971
SSE2,YBR169C,HSPA1A,ENSG00000204389
NPL4,YBR170C,NPLOC4,ENSG00000182446
EHT1,YBR177C,ABHD1,ENSG00000143994
EHT1,YBR177C,ABHD3,ENSG00000158201
EHT1,YBR177C,ABHD2,ENSG00000140526
EHT1,YBR177C,ABHD15,ENSG00000168792
FZO1,YBR179C,MFN2,ENSG00000116688
FZO1,YBR179C,MFN1,ENSG00000171109
RPS6B,YBR181C,RPS6,ENSG00000137154
RPS9B,YBR189W,RPS9,ENSG00000170889
LDH1,YBR204C,ABHD6,ENSG00000163686
LDH1,YBR204C,ABHD5,ENSG00000011198
LDH1,YBR204C,ABHD8,ENSG00000127220
LDH1,YBR204C,ABHD4,ENSG00000100439
LDH1,YBR204C,EPHX2,ENSG00000120915
LDH1,YBR204C,BPHL,ENSG00000137274
LDH1,YBR204C,EPHX4,ENSG00000172031
LDH1,YBR204C,ABHD14A,ENSG00000248487
LDH1,YBR204C,MEST,ENSG00000106484
LDH1,YBR204C,SERHL2,ENSG00000183569
LDH1,YBR204C,ABHD14B,ENSG00000114779
LDH1,YBR204C,EPHX3,ENSG00000105131
ERV15,YBR210W,CNIH4,ENSG00000143771
ATG12,YBR217W,ATG12,ENSG00000145782
PYC2,YBR218C,PC,ENSG00000173599
NA,YBR219C,,ENSG00000284952
NA,YBR219C,SLC33A1,ENSG00000169359
NA,YBR219C,MFSD3,ENSG00000167700
NA,YBR220C,MFSD3,ENSG00000167700
NA,YBR220C,SLC33A1,ENSG00000169359
NA,YBR220C,,ENSG00000284952
PDB1,YBR221C,PDHB,ENSG00000168291
PCS60,YBR222C,ACSM6,ENSG00000173124
MCX1,YBR227C,CLPX,ENSG00000166855
SLX1,YBR228W,SLX1B,ENSG00000181625
SLX1,YBR228W,SLX1A,ENSG00000132207
ROT2,YBR229C,MGAM2,ENSG00000257743
ROT2,YBR229C,GAA,ENSG00000171298
ROT2,YBR229C,,ENSG00000258461
ROT2,YBR229C,MYORG,ENSG00000164976
ROT2,YBR229C,MGAM,ENSG00000257335
ROT2,YBR229C,GANC,ENSG00000214013
ROT2,YBR229C,SI,ENSG00000090402
VHC1,YBR235W,SLC12A5,ENSG00000124140
VHC1,YBR235W,SLC12A2,ENSG00000064651
VHC1,YBR235W,SLC12A9,ENSG00000146828
VHC1,YBR235W,SLC12A1,ENSG00000074803
VHC1,YBR235W,SLC12A7,ENSG00000113504
VHC1,YBR235W,SLC12A4,ENSG00000124067
VHC1,YBR235W,SLC12A6,ENSG00000140199
VHC1,YBR235W,SLC12A3,ENSG00000070915
ABD1,YBR236C,RNMT,ENSG00000101654
NA,YBR241C,SLC2A10,ENSG00000197496
NA,YBR241C,SLC2A11,ENSG00000133460
NA,YBR241C,SLC2A9,ENSG00000109667
NA,YBR241C,SLC2A12,ENSG00000146411
NA,YBR241C,SLC2A2,ENSG00000163581
NA,YBR241C,SLC2A3,ENSG00000059804
NA,YBR241C,,ENSG00000251357
NA,YBR241C,SLC2A7,ENSG00000197241
NA,YBR241C,SLC2A1,ENSG00000117394
NA,YBR241C,SLC2A4,ENSG00000181856
NA,YBR241C,SLC2A14,ENSG00000173262
NA,YBR241C,SLC2A6,ENSG00000160326
NA,YBR242W,HDDC2,ENSG00000111906
GPX2,YBR244W,GPX5,ENSG00000224586
DUT1,YBR252W,DUT,ENSG00000128951
RGD1,YBR260C,SYDE1,ENSG00000105137
RGD1,YBR260C,SYDE2,ENSG00000097096
TSC10,YBR265W,KDSR,ENSG00000119537
REI1,YBR267W,ZNF622,ENSG00000173545
EFM2,YBR271W,METTL23,ENSG00000181038
CHK1,YBR274W,PNCK,ENSG00000130822
SSH1,YBR283C,SEC61A1,ENSG00000058262
SSH1,YBR283C,SEC61A2,ENSG00000065665
NA,YBR284W,AMPD2,ENSG00000116337
NA,YBR284W,AMPD1,ENSG00000116748
NA,YBR284W,AMPD3,ENSG00000133805
SNF5,YBR289W,SMARCB1,ENSG00000099956
BSD2,YBR290W,NDFIP2,ENSG00000102471
BSD2,YBR290W,NDFIP1,ENSG00000131507
PHO89,YBR296C,SLC20A1,ENSG00000144136
PHO89,YBR296C,SLC20A2,ENSG00000168575
MAL32,YBR299W,SLC3A2,ENSG00000168003
MAL32,YBR299W,SLC3A1,ENSG00000138079
MAL32,YBR299W,AMY1C,ENSG00000187733
MAL32,YBR299W,AMY2A,ENSG00000243480
MAL32,YBR299W,AMY1A,ENSG00000237763
MAL32,YBR299W,AMY2B,ENSG00000240038
MAL32,YBR299W,AMY1B,ENSG00000174876
SGF29,YCL010C,SGF29,ENSG00000176476
GBP2,YCL011C,MYEF2,ENSG00000104177
GBP2,YCL011C,HNRNPM,ENSG00000099783
RRP7,YCL031C,RRP7A,ENSG00000189306
GID7,YCL039W,WDR26,ENSG00000162923
GID7,YCL039W,WDR13,ENSG00000101940
KAR4,YCL055W,METTL14,ENSG00000145388
PRD1,YCL057W,NLN,ENSG00000123213
PRD1,YCL057W,THOP1,ENSG00000172009
KRR1,YCL059C,KRR1,ENSG00000111615
GEX1,YCL073C,MFSD9,ENSG00000135953
GEX1,YCL073C,MFSD1,ENSG00000118855
GEX1,YCL073C,MFSD5,ENSG00000182544
GEX1,YCL073C,MFSD14A,ENSG00000156875
GEX1,YCL073C,,ENSG00000283761
GEX1,YCL073C,MFSD8,ENSG00000164073
GEX1,YCL073C,MFSD10,ENSG00000109736
GEX1,YCL073C,MFSD14B,ENSG00000148110
GEX1,YCL073C,MFSD14C,ENSG00000196312
MRPL32,YCR003W,MRPL32,ENSG00000106591
CIT2,YCR005C,CS,ENSG00000062485
RVS161,YCR009C,BIN3,ENSG00000147439
PGK1,YCR012W,PGK1,ENSG00000102144
PGK1,YCR012W,PGK2,ENSG00000170950
POL4,YCR014C,POLL,ENSG00000166169
SLM5,YCR024C,NARS2,ENSG00000137513
NPP1,YCR026C,ENPP1,ENSG00000197594
NPP1,YCR026C,ENPP3,ENSG00000154269
NPP1,YCR026C,ENPP4,ENSG00000001561
NPP1,YCR026C,ENPP2,ENSG00000136960
NPP1,YCR026C,ENPP5,ENSG00000112796
NPP1,YCR026C,ENPP6,ENSG00000164303
RPS14A,YCR031C,RPS14,ENSG00000164587
SNT1,YCR033W,NCOR1,ENSG00000141027
SNT1,YCR033W,NCOR2,ENSG00000196498
ELO2,YCR034W,ELOVL3,ENSG00000119915
ELO2,YCR034W,ELOVL1,ENSG00000066322
ELO2,YCR034W,ELOVL7,ENSG00000164181
ELO2,YCR034W,ELOVL6,ENSG00000170522
RRP43,YCR035C,EXOSC8,ENSG00000120699
RBK1,YCR036W,RBKS,ENSG00000171174
PHO87,YCR037C,SLC13A5,ENSG00000141485
PHO87,YCR037C,SLC13A2,ENSG00000007216
PHO87,YCR037C,OCA2,ENSG00000104044
PHO87,YCR037C,SLC13A1,ENSG00000081800
PHO87,YCR037C,SLC13A3,ENSG00000158296
PHO87,YCR037C,SLC13A4,ENSG00000164707
CTR86,YCR054C,ATXN10,ENSG00000130638
YIH1,YCR059C,IMPACT,ENSG00000154059
RAD18,YCR066W,RAD18,ENSG00000070950
SED4,YCR067C,ELP2,ENSG00000134759
ERS1,YCR075C,CTNS,ENSG00000040531
PTC6,YCR079W,PPM1K,ENSG00000163644
NA,YCR087C-A,LYAR,ENSG00000145220
NA,YCR090C,CZIB,ENSG00000162384
MSH3,YCR092C,MSH3,ENSG00000113318
CDC39,YCR093W,CNOT1,ENSG00000125107
NA,YCR099C,SORCS1,ENSG00000108018
NA,YCR099C,SORL1,ENSG00000137642
NA,YCR099C,SORT1,ENSG00000134243
NA,YCR099C,SORCS3,ENSG00000156395
NA,YCR099C,SORCS2,ENSG00000184985
NA,YCR100C,SORCS3,ENSG00000156395
NA,YCR100C,SORCS1,ENSG00000108018
NA,YCR100C,SORCS2,ENSG00000184985
NA,YCR100C,SORT1,ENSG00000134243
NA,YCR100C,SORL1,ENSG00000137642
NA,YCR102C,ADH7,ENSG00000196344
NA,YCR102C,ZADH2,ENSG00000180011
NA,YCR102C,ADH1C,ENSG00000248144
NA,YCR102C,VAT1,ENSG00000108828
NA,YCR102C,ADH1B,ENSG00000196616
NA,YCR102C,ADH6,ENSG00000172955
NA,YCR102C,ADH4,ENSG00000198099
NA,YCR102C,VAT1L,ENSG00000171724
NA,YCR102C,TP53I3,ENSG00000115129
NA,YCR102C,ADH1A,ENSG00000187758
NA,YCR102C,CRYZL1,ENSG00000205758
NA,YCR102C,ADH5,ENSG00000197894
NA,YCR102C,PTGR1,ENSG00000106853
NA,YCR102C,PTGR2,ENSG00000140043
NA,YCR102C,,ENSG00000258653
NA,YCR102C,SORD,ENSG00000140263
ADH7,YCR105W,CRYZL1,ENSG00000205758
ADH7,YCR105W,SORD,ENSG00000140263
ADH7,YCR105W,PTGR1,ENSG00000106853
ADH7,YCR105W,VAT1L,ENSG00000171724
ADH7,YCR105W,ADH7,ENSG00000196344
ADH7,YCR105W,ZADH2,ENSG00000180011
ADH7,YCR105W,PTGR2,ENSG00000140043
ADH7,YCR105W,ADH1A,ENSG00000187758
ADH7,YCR105W,ADH5,ENSG00000197894
ADH7,YCR105W,ADH1B,ENSG00000196616
ADH7,YCR105W,ADH6,ENSG00000172955
ADH7,YCR105W,TP53I3,ENSG00000115129
ADH7,YCR105W,VAT1,ENSG00000108828
ADH7,YCR105W,ADH4,ENSG00000198099
ADH7,YCR105W,,ENSG00000258653
ADH7,YCR105W,ADH1C,ENSG00000248144
AAD3,YCR107W,KCNAB2,ENSG00000069424
AAD3,YCR107W,AKR1C1,ENSG00000187134
AAD3,YCR107W,KCNAB1,ENSG00000169282
AAD3,YCR107W,AKR1E2,ENSG00000165568
AAD3,YCR107W,AKR1D1,ENSG00000122787
AAD3,YCR107W,AKR1B10,ENSG00000198074
AAD3,YCR107W,AKR1C8P,ENSG00000264006
AAD3,YCR107W,AKR7A2,ENSG00000053371
AAD3,YCR107W,AKR1A1,ENSG00000117448
AAD3,YCR107W,AKR7A3,ENSG00000162482
AAD3,YCR107W,AKR1C2,ENSG00000151632
AAD3,YCR107W,AKR1C4,ENSG00000198610
AAD3,YCR107W,KCNAB3,ENSG00000170049
AAD3,YCR107W,AKR1B15,ENSG00000227471
AAD3,YCR107W,AKR1B1,ENSG00000085662
AAD3,YCR107W,AKR7L,ENSG00000211454
AAD3,YCR107W,AKR1C3,ENSG00000196139
ATP16,YDL004W,ATP5F1D,ENSG00000099624
PTC1,YDL006W,PPM1G,ENSG00000115241
RPT2,YDL007W,PSMC1,ENSG00000100764
GRX6,YDL010W,GRXCR2,ENSG00000204928
GRX6,YDL010W,GRXCR1,ENSG00000215203
TSC13,YDL015C,SRD5A2,ENSG00000277893
TSC13,YDL015C,TECR,ENSG00000099797
TSC13,YDL015C,SRD5A1,ENSG00000145545
TSC13,YDL015C,TECRL,ENSG00000205678
CDC7,YDL017W,CDC7,ENSG00000097046
GPM2,YDL021W,PGAM1,ENSG00000171314
GPM2,YDL021W,PGAM2,ENSG00000164708
GPM2,YDL021W,BPGM,ENSG00000172331
GPM2,YDL021W,PGAM4,ENSG00000226784
GPD1,YDL022W,GPD1L,ENSG00000152642
GPD1,YDL022W,GPD1,ENSG00000167588
DIA3,YDL024C,MINPP1,ENSG00000107789
MPS1,YDL028C,TLK1,ENSG00000198586
MPS1,YDL028C,TLK2,ENSG00000146872
MPS1,YDL028C,TTK,ENSG00000112742
PRP9,YDL030W,SDE2,ENSG00000143751
PRP9,YDL030W,SF3A3,ENSG00000183431
PUS9,YDL036C,RPUSD2,ENSG00000166133
NAT1,YDL040C,NAA15,ENSG00000164134
NAT1,YDL040C,NAA16,ENSG00000172766
PRP11,YDL043C,SF3A2,ENSG00000104897
FAD1,YDL045C,FLAD1,ENSG00000160688
SIT4,YDL047W,PPP6C,ENSG00000119414
STP4,YDL048C,WT1,ENSG00000184937
STP4,YDL048C,EGR2,ENSG00000122877
STP4,YDL048C,EGR1,ENSG00000120738
STP4,YDL048C,EGR3,ENSG00000179388
STP4,YDL048C,EGR4,ENSG00000135625
LHP1,YDL051W,SSB,ENSG00000138385
PSA1,YDL055C,GMPPB,ENSG00000173540
USO1,YDL058W,USO1,ENSG00000138768
RPS29B,YDL061C,RPS29,ENSG00000213741
IDP1,YDL066W,IDH2,ENSG00000182054
IDP1,YDL066W,IDH1,ENSG00000138413
BDF2,YDL070W,KAT2B,ENSG00000114166
BDF2,YDL070W,BRD2,ENSG00000204256
BDF2,YDL070W,BAZ1B,ENSG00000009954
BDF2,YDL070W,CECR2,ENSG00000099954
BDF2,YDL070W,KAT2A,ENSG00000108773
BDF2,YDL070W,BRD4,ENSG00000141867
BDF2,YDL070W,BRD3,ENSG00000169925
BDF2,YDL070W,BAZ1A,ENSG00000198604
BDF2,YDL070W,BAZ2A,ENSG00000076108
BDF2,YDL070W,BPTF,ENSG00000171634
BDF2,YDL070W,BRDT,ENSG00000137948
BDF2,YDL070W,BAZ2B,ENSG00000123636
BRE1,YDL074C,RNF40,ENSG00000103549
BRE1,YDL074C,RNF20,ENSG00000155827
