Gene stable ID	Gene name	Saccharomyces cerevisiae gene stable ID	Saccharomyces cerevisiae gene name	%id. target Saccharomyces cerevisiae gene identical to query gene	%id. query gene identical to target Saccharomyces cerevisiae gene	Saccharomyces cerevisiae orthology confidence [0 low, 1 high]
ENSG00000039650	PNKP	YMR156C		9.98081	21.8487	0
ENSG00000070961	ATP2B1	YOR291W		14.4262	11.9565	0
ENSG00000070961	ATP2B1	YGL008C	PMA1	13.6885	18.1917	0
ENSG00000070961	ATP2B1	YPL036W		13.6066	17.529	0
ENSG00000070961	ATP2B1	YGL167C	PMR1	20.082	25.7895	0
ENSG00000162407	PLPP3	YDR284C	DPP1	22.508	24.2215	0
ENSG00000138413	IDH1	YLR174W		60.3865	60.6796	1
ENSG00000138413	IDH1	YDL066W		64.9758	62.8505	1
ENSG00000138413	IDH1	YNL009W		59.4203	58.5714	1
ENSG00000115935	WIPF1	YLR337C	VRP1	34.5924	21.2974	0
ENSG00000115935	WIPF1	YOR181W	LAS17	26.0437	20.6951	0
ENSG00000284686	AC119674.2	YDR284C	DPP1	21.4286	16.609	0
ENSG00000173110	HSPA6	YPL106C	SSE1	22.2395	20.6349	0
ENSG00000173110	HSPA6	YBR169C		22.8616	21.2121	0
ENSG00000173110	HSPA6	YJL034W	KAR2	58.0093	54.6921	0
ENSG00000165934	CPSF2	YLR115W	CFT2	9.46292	8.61467	0
ENSG00000183605	SFXN4	YOR271C		21.0682	21.7125	0
ENSG00000198130	HIBCH	YDR036C	EHD3	32.3834	25	1
ENSG00000115677	HDLBP	YJL080C		20.8991	21.6858	0
ENSG00000115677	HDLBP	YLL032C		14.0379	21.5758	0
ENSG00000143319	ISG20L2	YLR107W		18.9802	16.5842	0
ENSG00000130985	UBA1	YKL027W		8.22306	19.4631	0
ENSG00000130985	UBA1	YHR003C		8.22306	20.2797	0
ENSG00000165672	PRDX3	YDR453C	TSA2	42.9688	56.1224	1
ENSG00000165672	PRDX3	YML028W	TSA1	44.5312	58.1633	1
ENSG00000150967	ABCB9	YPL270W		26.5013	26.2613	0
ENSG00000150967	ABCB9	YLR188W		25.0653	27.6259	0
ENSG00000162409	PRKAA2	YPL026C	SKS1	16.3043	17.9283	0
ENSG00000162409	PRKAA2	YDR247W		14.1304	16.9197	0
ENSG00000162409	PRKAA2	YOR233W	KIN4	25.7246	17.75	0
ENSG00000162409	PRKAA2	YPL141C		28.2609	18.0347	0
ENSG00000162409	PRKAA2	YDR122W		26.6304	13.8158	0
ENSG00000162409	PRKAA2	YLR096W		27.5362	13.252	0
ENSG00000162409	PRKAA2	YKL198C	PTK1	17.7536	14.8036	0
ENSG00000162409	PRKAA2	YJR059W	PTK2	18.8406	12.7139	0
ENSG00000162409	PRKAA2	YKL168C		13.4058	10.221	0
ENSG00000162409	PRKAA2	YJL165C		14.3116	9.23977	0
ENSG00000162409	PRKAA2	YNL183C		14.4928	10.1266	0
ENSG00000162409	PRKAA2	YDL214C		14.8551	11.731	0
ENSG00000163082	SGPP2	YJL134W	LCB3	19.0476	18.5819	0
ENSG00000163082	SGPP2	YKR053C	YSR3	16.792	16.5842	0
ENSG00000170385	SLC30A1	YPL224C	MMT2	13.6095	14.2562	0
ENSG00000170385	SLC30A1	YMR177W		10.2564	10.1961	0
ENSG00000128656	CHN1	YDR379W		18.9542	8.6224	0
ENSG00000128656	CHN1	YOR127W	RGA1	21.1329	9.63257	0
ENSG00000116120	FARSB	YLR060W	FRS1	47.0289	46.5546	1
ENSG00000117650	NEK2	YAR018C	KIN3	31.9101	32.6437	1
ENSG00000155816	FMN2	YIL159W		11.2079	14.0364	0
ENSG00000155816	FMN2	YNL271C	BNI1	4.06504	3.58423	0
ENSG00000124003	MOGAT1	YOR245C		38.209	30.622	1
ENSG00000123684	LPGAT1	YBR042C	CST26	15.9459	14.8615	0
ENSG00000123684	LPGAT1	YDR018C		15.6757	14.6465	0
ENSG00000123983	ACSL3	YBR041W		12.9167	13.9013	0
ENSG00000152056	AP1S3	YLR170C	APS1	46.1039	45.5128	1
ENSG00000286239	AC093884.1	YHL002W		8.57143	3.31858	0
ENSG00000286239	AC093884.1	YNR006W	VPS27	10.8571	3.05466	0
ENSG00000286239	AC093884.1	YHR108W		10.2857	3.07692	0
ENSG00000286239	AC093884.1	YDR358W		10.2857	3.2316	0
ENSG00000085449	WDFY1	YHL002W		7.31707	6.63717	0
ENSG00000085449	WDFY1	YNR006W	VPS27	7.56098	4.98392	0
ENSG00000085449	WDFY1	YHR108W		10	7.00855	0
ENSG00000085449	WDFY1	YDR358W		11.7073	8.61759	0
ENSG00000091483	FH	YPL262W		62.549	65.3689	0
ENSG00000203668	CHML	YOR370C	MRS6	18.4451	20.0663	0
ENSG00000162843	WDR64	YJL112W	MDV1	6.38298	9.66387	0
ENSG00000162843	WDR64	YKR036C		7.58557	12.7527	0
ENSG00000162843	WDR64	YFL009W		6.75301	9.37099	0
ENSG00000162843	WDR64	YER066W		1.66512	9.72973	0
ENSG00000117009	KMO	YBL098W		32.5103	34.3478	1
ENSG00000115966	ATF2	YNL167C	SKO1	20.9901	16.3833	0
ENSG00000115966	ATF2	YIL036W	CST6	18.4158	15.8433	0
ENSG00000115966	ATF2	YER045C		13.8614	14.3149	0
ENSG00000066027	PPP2R5A	YOR014W	RTS1	53.2922	34.214	1
ENSG00000006607	FARP2	YLR371W		15.2751	11.8732	0
ENSG00000006607	FARP2	YGR070W	ROM1	13.1879	12.0346	0
ENSG00000174371	EXO1	YDR263C	DIN7	17.1395	33.7209	0
ENSG00000174371	EXO1	YOR033C	EXO1	23.1678	27.9202	0
ENSG00000162600	OMA1	YKR087C		14.8855	22.6087	0
ENSG00000196289	BECN2	YPL120W	VPS30	23.8979	18.4919	0
ENSG00000135905	DOCK10	YLR422W		13.1423	14.9586	0
ENSG00000168397	ATG4B	YNL223W	ATG4	26.7176	21.2551	0
ENSG00000137601	NEK1	YOR231W	MKK1	4.74339	12.0079	0
ENSG00000137601	NEK1	YPL140C	MKK2	4.58787	11.6601	0
ENSG00000203705	TATDN3	YMR262W		20.6406	18.5304	0
ENSG00000253719	ATXN7L3B	YGL066W	SGF73	8.24742	1.21766	0
ENSG00000179407	DNAJB8	YMR161W		30.1724	31.25	0
ENSG00000173401	GLIPR1L1	YKR013W	PRY2	16.9421	12.462	0
ENSG00000173401	GLIPR1L1	YJL079C		18.595	15.0502	0
ENSG00000173401	GLIPR1L1	YJL078C		24.3802	6.69694	0
ENSG00000179348	GATA2	YJL110C	GZF3	14.7917	12.8857	0
ENSG00000179348	GATA2	YKR034W	DAL80	9.16667	16.3569	0
ENSG00000035687	ADSS	YNL220W	ADE12	53.7281	56.582	1
ENSG00000168393	DTYMK	YJR057W		43.8679	43.0556	1
ENSG00000120616	EPC1	YFL024C		18.6603	18.75	0
ENSG00000049541	RFC2	YOL094C		53.1073	58.2043	1
ENSG00000086598	TMED2	YGL200C	EMP24	26.8657	26.601	0
ENSG00000174606	ANGEL2	YML118W		16.7279	18.0198	0
ENSG00000174606	ANGEL2	YMR285C		16.5441	17.4757	0
ENSG00000111361	EIF2B1	YKR026C	GCN3	42.2951	42.2951	1
ENSG00000111364	DDX55	YFL002C		37.3333	36.9637	1
ENSG00000180902	D2HGDH	YDL178W	DLD2	50.2879	49.434	1
ENSG00000111358	GTF2H3	YPR056W		29.8701	27.2189	1
ENSG00000126749	EMG1	YLR186W	EMG1	50.8197	49.2063	1
ENSG00000215021	PHB2	YGR231C		51.505	49.6774	1
ENSG00000163902	RPN1	YJL002C	OST1	19.7694	25.2101	0
ENSG00000111684	LPCAT3	YOR175C	ALE1	26.4887	20.8401	0
ENSG00000113240	CLK4	YJL141C		23.4927	14.0025	0
ENSG00000143499	SMYD2	YPL165C		14.7806	17.1582	0
ENSG00000198825	INPP5F	YNL106C	INP52	9.18728	8.79121	0
ENSG00000198825	INPP5F	YOR109W	INP53	8.30389	8.49142	0
ENSG00000160948	VPS28	YPL065W	VPS28	24.0343	23.1405	0
ENSG00000149926	FAM57B	YJR116W		18.2482	17.9211	0
ENSG00000111666	CHPT1	YHR123W		18.7192	19.4373	0
ENSG00000111666	CHPT1	YNL130C		21.1823	21.883	0
ENSG00000101246	ARFRP1	YPL051W		46.7662	47.4747	1
ENSG00000142657	PGD	YGR256W		65.0104	63.8211	1
ENSG00000142657	PGD	YHR183W		66.0455	65.2352	1
ENSG00000162601	MYSM1	YJL176C	SWI3	10.1449	10.1818	0
ENSG00000114654	EFCC1	YAL003W	EFB1	6.02007	17.4757	0
ENSG00000142655	PEX14	YGL153W		17.5066	19.3548	0
ENSG00000254772	EEF1G	YPL048W	CAM1	30.6636	32.2892	0
ENSG00000254772	EEF1G	YKL081W	TEF4	32.2654	34.2233	0
ENSG00000254772	EEF1G	YGR201C		12.5858	24.4444	0
ENSG00000107651	SEC23IP	YOR022C		15.4	21.5385	0
ENSG00000167702	KIFC2	YPR141C	KAR3	19.2124	22.085	0
ENSG00000109576	AADAT	YHR137W		27.2727	22.807	0
ENSG00000203805	PLPP4	YDR284C	DPP1	22.8782	21.4533	0
ENSG00000169599	NFU1	YKL040C	NFU1	25.1968	25	1
ENSG00000141198	TOM1L1	YHL002W		13.2353	13.9381	0
ENSG00000141198	TOM1L1	YNR006W	VPS27	13.2353	10.1286	0
ENSG00000141198	TOM1L1	YHR108W		18.2773	14.8718	0
ENSG00000141198	TOM1L1	YDR358W		17.6471	15.0808	0
ENSG00000166260	COX11	YPL132W	COX11	39.4928	36.3333	1
ENSG00000109133	TMEM33	YLR064W		21.4575	19.4139	0
ENSG00000109133	TMEM33	YLL023C		22.6721	20.0717	0
ENSG00000115977	AAK1	YIL095W	PRK1	18.3143	21.7284	0
ENSG00000115977	AAK1	YNL020C		17.4818	26.3323	0
ENSG00000172456	FGGY	YDR109C		39.8261	32.028	1
ENSG00000261796	ISY1-RAB43	YJR050W	ISY1	21.4502	30.2128	0
ENSG00000240682	ISY1	YJR050W	ISY1	23.127	30.2128	0
ENSG00000167701	GPT	YLR089C		43.5484	36.4865	0
ENSG00000167701	GPT	YDR111C		43.75	42.8008	0
ENSG00000167701	GPT	YJL060W		14.9194	16.6667	0
ENSG00000182308	DCAF4L1	YKL021C		5.55556	4.70085	0
ENSG00000182308	DCAF4L1	YCR084C	TUP1	4.0404	2.24404	0
ENSG00000149923	PPP4C	YDR075W		62.5407	62.3377	1
ENSG00000167700	MFSD3	YBR219C		2.18447	7.08661	0
ENSG00000167700	MFSD3	YBR220C		18.4466	13.5714	0
ENSG00000134716	CYP2J2	YDR402C	DIT2	23.9044	24.5399	0
ENSG00000108960	MMD	YOL002C	IZH2	13.8655	10.4101	0
ENSG00000108960	MMD	YDR492W		14.2857	10.7595	0
ENSG00000181789	COPG1	YNL287W		35.3547	33.0481	1
ENSG00000167283	ATP5MG	YPR020W		33.0097	29.5652	1
ENSG00000110344	UBE4A	YDL190C		20.2237	22.5806	0
ENSG00000095139	ARCN1	YFR051C		31.8982	29.8535	1
ENSG00000102886	GDPD3	YPL206C		16.9811	16.8224	0
ENSG00000277196	AC007325.2	YLR142W		18.6667	23.5294	0
ENSG00000174106	LEMD3	YML034W	SRC1	9.11087	9.95204	0
ENSG00000174106	LEMD3	YDR458C		7.9034	10.8597	0
ENSG00000255561	FDXACB1	YIL096C		10.4167	19.3452	0
ENSG00000214160	ALG3	YBL082C	ALG3	34.7032	33.1878	1
ENSG00000009335	UBE3C	YGL141W		24.3767	29.011	0
ENSG00000163283	ALPP	YDR481C	PHO8	25.6075	24.2049	0
ENSG00000121152	NCAPH	YBL097W		20.108	19.7613	0
ENSG00000090020	SLC9A1	YDR456W	NHX1	15.9509	20.5371	0
ENSG00000115652	UXS1	YOL151W		8.23529	10.2339	0
ENSG00000115652	UXS1	YDR541C		8.70588	10.7558	0
ENSG00000115652	UXS1	YGL157W		8.70588	10.6628	0
ENSG00000115652	UXS1	YGL039W		8.70588	10.6322	0
ENSG00000026652	AGPAT4	YBR042C	CST26	20.1058	19.1436	0
ENSG00000026652	AGPAT4	YDR018C		19.0476	18.1818	0
ENSG00000124222	STX16	YOL018C		22.1538	18.136	0
ENSG00000254995	STX16-NPEPL1	YOL018C		16.7539	16.1209	0
ENSG00000146909	NOM1	YLR336C		25.1163	24.0267	0
ENSG00000134255	CEPT1	YHR123W		19.9519	21.2276	0
ENSG00000134255	CEPT1	YNL130C		21.6346	22.9008	0
ENSG00000165704	HPRT1	YMR105C	PGM2	17.4312	6.67838	0
ENSG00000165704	HPRT1	YKL127W		18.3486	7.01754	0
ENSG00000143324	XPR1	YIL047C		23.7069	18.2927	0
ENSG00000143486	EIF2D	YDR117C	TMA64	24.4863	25.3097	0
ENSG00000145248	SLC10A4	YPR201W	ARR3	15.5606	16.8317	0
ENSG00000059758	CDK17	YPL042C	SSN3	19.1205	18.018	0
ENSG00000059758	CDK17	YFL029C	CAK1	14.1491	20.1087	0
ENSG00000073350	LLGL2	YBL106C	SRO77	16.9608	17.1287	0
ENSG00000073350	LLGL2	YPR032W	SRO7	15.3922	15.1985	0
ENSG00000186335	SLC36A2	YNL101W		22.9814	15.568	0
